Table 1.9 Net overseas migration by country of birth, Australian Capital Territory, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d)
1101,Australia,-930,-700,-510,-680,-310,-240,-610,-180,-400,-760,-610,-500,-440,-220,-220,690,-330,-700,-770,-600,-430
1102,Norfolk Island(e),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,Aust E T, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,60,70,90,140,130,90,170,280,210,50,40,60,40,100,-30,10,-30,-20,110,150,170
1301,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,PNG,0,0,0,10,-20,-30,0,0,40,20,-40,10,10,-20,-30,10,-10,20,30,0,20
1303,Solomon Islands,10,-10,0,0,0,0,0,0,10,-10,0,0,0,0,0,0,0,0,0,10,10
1304,Vanuatu,0,10,0,0,-10,10,-10,0,10,-10,0,0,0,0,0,20,0,0,0,10,0
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,0,0,0,0,10,0,-10,0,0,10,0,0,0,0,0,0,0,-10,10,0,0
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,Micronesia, F S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1502,Fiji,10,20,10,10,40,40,10,20,30,20,40,30,10,20,30,10,0,50,80,50,20
1503,French Poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,Samoa,10,0,0,0,10,10,10,30,50,20,20,10,30,10,10,10,0,0,10,30,10
1506,Samoa American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,Tonga,10,10,10,0,10,-10,0,0,10,10,0,-10,10,20,10,20,0,10,10,20,0
1511,Tuvalu,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,-10,0,0,0,10
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,Polynesia, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,UK, CIs & IOM,170,200,210,280,340,270,170,620,320,180,120,150,130,30,70,110,-10,20,80,90,100
2201,Ireland,0,20,10,20,30,30,70,150,20,10,-50,-30,10,-10,0,0,-20,-20,10,20,0
2301,Austria,0,0,0,0,10,10,0,0,0,0,0,0,-10,0,0,10,0,0,10,0,0
2302,Belgium,-10,10,0,10,0,0,0,20,10,0,0,0,0,10,0,0,-10,0,0,0,0
2303,France,20,10,40,10,40,40,30,40,60,40,20,10,0,10,10,30,-10,-10,30,0,0
2304,Germany,20,50,50,20,20,30,30,40,20,10,30,10,20,30,10,30,-20,-10,20,10,10
2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,Netherlands,0,10,10,20,20,10,20,30,20,0,30,0,10,10,-10,10,-10,-10,0,-10,0
2311,Switzerland,-10,0,10,0,10,0,0,10,0,0,10,0,10,0,0,0,-10,10,0,0,-10
2401,Denmark,0,-10,0,10,0,0,-10,10,10,-10,0,0,0,0,0,0,0,0,0,0,0
2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,Finland,0,-10,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0
2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2406,Norway,0,0,0,10,0,0,0,0,0,-10,0,0,0,0,-10,0,0,0,0,0,0
2407,Sweden,0,10,10,0,10,10,10,10,-10,0,10,10,0,-10,0,10,-10,0,0,10,0
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,Italy,0,20,0,20,10,10,20,40,20,10,20,0,0,20,-10,10,-20,0,20,10,-30
3105,Malta,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3106,Portugal,0,10,0,0,0,10,10,10,10,10,10,-10,0,0,0,0,0,0,0,0,0
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108,Spain,0,0,0,0,0,0,10,20,20,0,0,0,10,-10,10,10,0,-10,10,20,0
3201,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3202,Bosnia/Herzegov,0,-10,-10,10,0,0,0,0,0,0,-10,0,0,0,0,10,0,-10,-10,0,0
3203,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
3204,Croatia,-10,-10,0,0,0,0,10,0,0,0,10,10,0,0,0,10,-10,0,0,0,0
3205,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3206,North Macedonia,10,0,10,10,0,10,0,0,10,10,10,0,10,-10,0,0,-10,0,0,0,0
3207,Greece,0,0,0,0,-10,10,10,10,20,20,10,10,10,10,-10,10,-10,-10,-10,0,-10
3208,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,Romania,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,10,0
3212,Slovenia,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3214,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3215,Serbia,10,10,0,10,0,10,10,10,0,10,10,0,10,0,0,10,-10,-10,0,0,0
3216,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3302,Czechia,0,0,0,10,0,0,0,10,0,10,0,0,10,0,0,0,0,0,0,0,10
3303,Estonia,0,0,10,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
3304,Hungary,-10,0,0,0,-10,0,0,0,10,0,0,0,0,-10,0,0,0,0,0,0,0
3305,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3306,Lithuania,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
3307,Poland,-10,0,0,0,10,10,0,10,0,10,0,-10,10,0,10,10,0,-10,10,10,-10
3308,Russia,10,10,10,20,20,10,10,10,20,10,10,10,10,20,20,20,-10,10,20,10,10
3311,Slovakia,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3312,Ukraine,10,0,0,0,10,10,10,10,10,10,10,0,0,10,0,0,0,50,30,10,10
4101,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4102,Egypt,0,10,10,10,0,10,30,10,30,30,30,20,20,30,20,20,0,40,30,20,20
4103,Libya,0,0,0,0,0,20,10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4104,Morocco,0,0,0,0,10,0,0,0,0,0,10,0,0,10,10,0,-10,10,0,10,10
4105,Sudan,70,30,20,20,20,10,30,10,0,0,0,10,10,10,0,10,0,0,10,10,20
4106,Tunisia,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,South Sudan,0,0,0,0,0,0,0,0,10,0,0,0,20,10,10,0,0,0,0,0,0
4201,Bahrain,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,10,0,10,10
4202,Palestine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4203,Iran,20,-10,10,10,20,40,40,50,80,10,30,30,30,50,60,70,10,70,90,110,70
4204,Iraq,0,20,20,40,30,20,30,10,10,30,50,100,180,50,50,60,-10,60,10,10,10
4205,Israel,10,10,0,10,10,0,10,10,10,-10,30,0,10,0,0,10,0,-10,0,0,0
4206,Jordan,10,0,0,10,10,10,10,20,0,10,10,-10,10,10,10,10,0,10,-10,10,0
4207,Kuwait,0,0,0,0,20,10,10,0,10,0,0,0,0,-10,0,0,10,0,0,20,50
4208,Lebanon,10,10,10,10,10,10,10,10,20,10,10,0,10,0,10,10,0,20,20,20,10
4211,Oman,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,-10,0,0,10,10
4212,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,10,10
4213,Saudi Arabia,10,10,0,60,120,70,40,-50,-70,-30,-30,-20,-10,20,10,-10,-40,10,10,10,30
4214,Syria,0,0,0,10,10,10,0,0,10,10,20,10,30,50,90,10,0,10,30,70,30
