SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
1101,Australia,-18 680,-14 740,-12 790,-15 220,-2 280,-3 620,-8 130,-7 980,-9 840,-19 390,-23 000,-21 370,-15 870,-15 500,-12 360,18 060,7 470,-13 440,-26 160,-21 150,-17 060
1102,Norfolk Island(f),20,20,30,20,20,10,10,20,30,10,0,40,70,10,0,0,0,0,0,0,0
1199,Aust E T, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,16 870,18 090,22 100,27 730,23 150,15 780,29 040,34 540,24 740,7 240,930,1 480,1 850,3 010,3 330,-360,-2 150,5 370,15 950,22 910,24 320
1301,New Caledonia,60,30,60,80,90,110,20,40,30,10,70,50,50,-10,0,10,0,50,70,160,250
1302,PNG,520,720,750,990,780,630,760,820,800,540,430,680,520,270,310,630,-180,820,1 860,1 930,1 490
1303,Solomon Islands,150,70,60,70,90,30,100,90,110,50,100,80,80,70,50,300,990,2 230,1 280,1 060,500
1304,Vanuatu,0,30,20,30,0,70,10,60,90,20,0,30,40,0,230,2 450,2 290,2 310,200,140,750
1401,Guam,-10,0,0,0,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0
1402,Kiribati,-10,0,20,40,50,60,-10,10,20,20,10,0,40,80,50,100,180,180,490,560,160
1403,Marshall Is,0,-10,0,0,0,0,0,10,0,0,0,0,0,-10,0,0,0,0,10,10,10
1404,Micronesia, F S,20,10,0,0,0,10,0,10,10,10,0,0,-10,0,0,0,0,0,0,0,0
1405,Nauru,10,60,40,10,20,-10,-10,10,30,-10,30,20,10,-20,60,50,-20,40,100,80,50
1406,N Mariana Is,0,0,0,10,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,10,0,0,0,0,0,-10,0,0,0,0,0,0,0,0
1501,Cook Islands,230,260,250,290,380,260,360,420,430,280,160,140,40,20,70,40,-10,10,120,120,200
1502,Fiji,1 100,1 660,1 860,2 280,2 320,2 050,1 810,1 910,1 840,1 680,1 280,1 250,1 470,1 400,2 240,2 210,810,3 450,8 380,6 000,2 940
1503,French Poly,10,10,30,30,10,30,20,20,30,0,-10,20,10,20,0,10,-30,0,30,10,20
1504,Niue,40,40,40,70,50,60,50,40,60,30,10,30,20,10,10,10,0,10,20,30,20
1505,Samoa,860,840,740,900,1 230,920,1 520,2 150,2 740,1 900,1 520,1 640,1 800,1 400,1 260,1 340,1 000,2 740,1 310,1 140,1 260
1506,Samoa American,10,10,10,20,20,30,30,50,70,30,20,40,20,20,20,20,0,0,20,30,30
1507,Tokelau,40,70,10,50,60,30,30,60,50,-10,20,10,10,0,10,-10,-10,10,30,10,0
1508,Tonga,180,190,250,470,510,480,600,670,540,620,430,340,410,460,720,2 430,1 770,1 400,900,800,810
1511,Tuvalu,20,10,0,10,20,0,-10,20,20,10,10,0,10,20,30,40,-30,20,60,160,120
1512,Wallis/Futuna,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,Polynesia, nec,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
