Table 1.2 Net overseas migration by country of birth, New South Wales, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Australia,-7 430,-6 170,-5 910,-6 760,-2 120,-2 140,-3 440,-3 740,-3 930,-6 630,-7 240,-7 100,-5 500,-6 520,-4 550,5 620,8 270,-5 260,-10 160,-7 300,-5 700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Norfolk Island(e),0,10,10,10,10,0,0,10,10,10,10,30,40,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Aust E T, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,New Zealand,4 080,3 700,3 910,4 280,3 400,3 180,5 390,4 960,4 010,1 710,800,1 700,1 420,710,590,-330,1 930,380,2 080,3 280,3 870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,New Caledonia,10,20,40,30,30,40,10,20,30,0,50,20,30,-10,0,-10,10,10,20,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,PNG,70,60,60,80,50,20,90,80,90,20,70,70,20,20,20,60,20,110,290,370,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,Solomon Islands,30,20,-10,0,10,10,30,10,0,20,20,10,0,20,10,80,410,730,90,320,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,Vanuatu,10,0,10,0,0,20,10,10,30,10,-10,10,10,20,60,380,1 000,380,-70,-70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,Kiribati,-10,0,0,10,10,10,0,0,0,10,0,-10,0,0,0,20,70,0,130,140,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404,Micronesia, F S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Cook Islands,70,100,90,70,100,70,90,100,100,110,70,70,50,20,20,10,30,-10,20,-20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Fiji,650,800,870,990,1 050,1 130,920,890,880,880,630,610,790,770,1 240,1 150,700,1 200,3 350,2 520,1 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,French Poly,10,0,10,10,-10,10,10,10,10,0,0,10,10,0,0,0,-10,0,20,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Niue,20,20,20,10,10,20,20,10,30,10,0,20,10,0,0,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Samoa,280,370,280,310,440,320,500,630,850,720,520,530,620,460,420,430,480,600,400,270,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Samoa American,10,0,0,10,0,0,10,20,20,10,10,10,10,10,10,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Tokelau,30,40,0,20,30,10,10,30,20,-10,10,10,10,0,20,-10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Tonga,110,100,130,350,320,250,360,350,240,330,190,170,210,290,360,730,570,570,170,240,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Tuvalu,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,10,-10,10,20,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Polynesia, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,UK, CIs & IOM,5 360,6 020,7 090,8 850,7 250,5 330,7 170,6 910,6 730,4 210,3 340,3 220,3 980,2 940,2 210,2 820,930,170,5 950,7 310,7 660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,Ireland,420,630,960,1 940,2 700,1 510,2 830,2 900,1 310,-410,-780,-460,340,630,420,520,-400,-120,4 100,3 480,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,Austria,50,30,70,50,50,20,10,80,10,0,30,30,30,-10,30,10,-10,10,10,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,Belgium,50,80,120,100,40,80,80,80,100,120,140,140,90,100,0,90,-70,-10,160,60,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,France,450,550,670,890,880,630,950,970,970,940,920,800,600,470,170,440,-690,-300,1 310,960,1 090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,Germany,850,870,1 150,1 080,780,730,710,600,440,360,420,460,560,150,-190,320,-250,-20,640,30,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,Luxembourg,10,10,0,0,0,10,10,0,10,10,10,10,0,0,10,10,0,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,Netherlands,270,310,280,290,200,270,300,200,250,160,280,290,290,90,-100,200,-150,-30,250,60,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,Switzerland,150,110,40,120,50,60,70,40,30,90,70,50,60,40,10,50,-10,-30,60,-10,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,Denmark,100,20,50,60,30,50,60,80,80,20,40,20,30,10,-40,40,-20,0,60,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
