Table 1.8 Net overseas migration by country of birth, Northern Territory, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d)
1101,Australia,-180,-270,-10,-160,-10,-130,-250,-100,-70,-210,-150,-230,-200,-300,-340,-160,-60,-130,-250,-280,-240
1102,Norfolk Island(e),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,Aust E T, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,120,70,20,60,110,10,180,350,320,70,-50,-90,-70,-40,-30,-80,-80,-20,40,200,180
1301,New Caledonia,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1302,PNG,10,20,20,20,30,0,20,10,20,10,0,20,10,0,-10,-20,0,10,20,30,10
1303,Solomon Islands,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,10,10
1304,Vanuatu,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,60,180,210,-20,-10,20
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,Micronesia, F S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,Fiji,-20,10,0,10,10,20,10,20,20,30,30,20,20,20,40,-10,0,110,140,50,30
