Table 1.4 Net overseas migration by country of birth, Queensland, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d)
1101,Australia,-3 370,-2 810,-1 100,-1 970,-220,-60,-1 210,-1 130,-1 700,-3 990,-5 160,-4 200,-3 140,-2 960,-2 630,4 340,520,-1 810,-5 070,-4 430,-2 990
1102,Norfolk Island(e),10,20,20,10,10,10,0,10,20,10,0,20,30,0,0,0,0,0,0,0,0
1199,Aust E T, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,7 470,8 350,11 170,13 480,10 700,6 090,10 910,12 140,8 360,2 050,-240,-50,660,1 050,1 190,-150,-1 470,2 200,5 250,8 710,9 890
1301,New Caledonia,40,0,30,40,50,50,10,10,-10,0,10,20,30,10,0,20,0,30,40,90,140
1302,PNG,320,460,490,640,580,560,570,520,520,500,350,520,450,250,280,410,-120,460,950,1 190,860
1303,Solomon Islands,90,40,50,40,70,10,70,60,80,20,50,80,80,50,30,110,540,1 120,540,240,240
1304,Vanuatu,-10,20,10,20,10,10,0,30,30,10,10,30,20,-20,90,600,410,410,270,240,430
1401,Guam,0,-10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,10,0,10,20,30,40,0,0,10,-10,0,10,40,40,30,20,-10,70,180,250,20
1403,Marshall Is,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1404,Micronesia, F S,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,40,30,20,10,10,0,0,10,-10,30,10,10,-10,50,40,-10,40,70,70,20
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1501,Cook Islands,70,90,110,130,130,90,160,150,150,90,40,40,0,-10,-10,10,-30,-10,20,50,60
1502,Fiji,240,430,500,600,630,430,390,490,420,310,300,240,260,190,360,540,60,700,2 120,1 440,750
1503,French Poly,-10,10,20,10,10,20,0,0,10,-10,0,0,10,10,10,0,-10,10,0,10,10
1504,Niue,20,20,10,30,30,30,20,10,20,20,10,10,0,10,10,0,0,10,10,10,10
1505,Samoa,350,270,260,380,420,280,500,690,840,490,390,430,450,320,330,390,280,970,320,280,390
1506,Samoa American,10,10,10,10,10,20,10,10,30,10,0,10,10,10,10,10,0,0,0,20,10
1507,Tokelau,10,20,10,10,20,10,20,30,20,0,10,0,10,0,-10,0,-10,10,20,10,0
1508,Tonga,50,50,60,70,90,110,100,140,130,120,100,120,80,60,150,510,650,430,380,280,330
1511,Tuvalu,20,10,0,0,10,0,0,10,10,10,0,0,0,10,20,20,-10,10,40,40,50
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,Polynesia, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,UK, CIs & IOM,4 880,5 880,7 580,7 680,6 790,3 860,4 020,5 730,4 590,1 490,1 470,1 960,2 380,1 320,1 470,2 270,-250,1 020,3 770,4 600,5 170
2201,Ireland,210,400,440,840,1 320,600,1 270,1 780,790,-370,-620,-300,-50,-90,10,80,-100,20,870,770,380
2301,Austria,30,-10,70,40,30,30,-10,20,40,10,30,10,-20,0,10,10,0,10,20,10,10
2302,Belgium,30,40,50,40,0,40,40,100,70,40,10,-10,20,40,40,30,-30,20,90,70,20
2303,France,240,170,350,240,350,190,160,530,460,190,190,80,100,190,220,330,-330,70,1 070,800,880
2304,Germany,330,350,460,270,300,260,120,360,220,110,160,-100,190,30,-20,180,-150,60,390,270,200
2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,Luxembourg,0,0,10,0,0,0,0,10,0,0,-10,10,10,10,0,0,0,0,10,0,0
2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,Netherlands,130,230,190,130,90,60,100,190,100,30,10,70,90,110,10,40,-40,30,130,100,20
2311,Switzerland,70,60,20,10,50,60,50,50,40,-20,30,60,20,30,20,20,-40,30,40,30,30
2401,Denmark,10,30,10,-10,-20,40,40,60,-10,-20,20,30,-10,-30,-10,10,-40,-10,70,20,20
2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,Finland,10,10,10,10,40,20,30,20,20,20,80,50,60,-30,-30,10,-20,-10,20,30,30
2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,Iceland,0,0,10,0,0,0,10,0,10,10,0,0,10,0,0,0,0,0,10,0,0
2406,Norway,-70,-110,-90,-20,10,40,40,0,-10,-50,-20,-10,40,30,-20,-20,-60,20,80,30,10
2407,Sweden,90,50,-10,70,10,90,20,90,90,60,70,90,20,20,40,30,-70,-10,120,60,40
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,Gibraltar,0,0,0,10,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,Italy,50,40,80,50,120,110,90,380,580,550,370,190,160,70,110,150,-150,20,590,440,580
3105,Malta,10,10,10,10,0,-10,0,10,0,0,-10,0,0,0,10,0,0,0,10,10,10
3106,Portugal,30,0,40,50,40,30,30,70,100,50,30,20,10,0,40,60,-20,0,50,90,40
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108,Spain,20,60,50,-10,50,60,110,210,240,110,80,140,200,210,180,360,-160,30,880,200,310
