Table 1.5 Net overseas migration by country of birth, South Australia, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d)
1101,Australia,-950,-440,-380,-550,350,-20,-330,-430,-420,-640,-1 040,-940,-670,-550,-320,1 410,450,-310,-1 250,-1 130,-810
1102,Norfolk Island(e),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,Aust E T, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,320,350,320,480,450,310,510,600,340,50,-60,-20,30,70,50,-20,-30,110,320,460,520
1301,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0
1302,PNG,20,20,0,10,20,30,0,10,-10,20,20,10,10,-10,10,30,-10,80,80,60,10
1303,Solomon Islands,10,0,10,10,-10,0,-10,0,0,0,0,0,0,10,0,20,-10,10,70,10,50
1304,Vanuatu,0,0,0,0,0,10,0,-10,10,-10,0,0,0,0,20,230,190,70,-90,-30,120
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,-10,130,90,20,10,20
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,Micronesia, F S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,10,0,10,10,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,10,0
1502,Fiji,30,40,40,50,70,40,20,50,20,30,20,20,20,20,30,30,10,130,310,200,100
1503,French Poly,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0
1504,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,Samoa,10,0,10,0,10,10,10,10,10,10,10,10,10,10,20,30,40,0,30,60,30
1506,Samoa American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,Tonga,0,0,0,10,10,10,10,10,10,0,0,10,10,10,10,50,220,10,-20,0,50
1511,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,Polynesia, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,UK, CIs & IOM,1 940,2 890,2 750,2 730,2 390,1 960,1 270,2 200,1 410,780,580,500,470,410,520,670,40,370,780,570,890
