Table 1.7 Net overseas migration by country of birth, Tasmania, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d)
1101,Australia,-160,-100,-190,-80,70,20,-50,-90,-100,-30,-220,-80,-120,-60,-30,490,40,10,-250,-210,-250
1102,Norfolk Island(e),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,Aust E T, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,20,70,80,110,130,80,40,100,90,0,-20,-10,10,10,20,40,-20,50,30,100,160
1301,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,PNG,10,10,0,10,0,-10,0,0,0,0,0,0,0,-10,0,10,0,0,110,30,40
1303,Solomon Islands,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,40,30,120,20
1304,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,190,140,350,-40,-30,-10
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,10,0,30,20,10
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,Micronesia, F S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1502,Fiji,0,10,0,10,20,10,0,0,10,10,0,0,10,10,10,0,0,60,50,30,30
1503,French Poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
