Table 1.3 Net overseas migration by country of birth, Victoria, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d)
1101,Australia,-4 140,-3 210,-3 550,-4 010,-150,-690,-2 020,-1 480,-2 310,-4 380,-5 710,-5 030,-3 190,-2 880,-3 050,3 620,-1 790,-3 970,-5 920,-5 250,-4 640
1102,Norfolk Island(e),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,Aust E T, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,3 040,3 240,3 570,4 090,3 810,3 290,6 060,7 090,5 640,2 740,1 630,2 050,1 790,1 910,1 780,410,-1 760,1 750,4 870,6 090,5 880
1301,New Caledonia,0,10,0,10,10,20,-10,10,0,0,10,0,0,0,0,0,-10,10,0,20,10
1302,PNG,80,50,50,60,10,-20,40,70,40,-50,30,60,40,0,10,70,-50,20,120,130,150
1303,Solomon Islands,10,0,10,10,0,10,10,20,20,10,10,10,0,-10,0,90,40,290,390,320,70
1304,Vanuatu,0,0,0,0,0,10,0,20,10,10,0,0,10,-10,40,820,100,420,90,-10,90
1401,Guam,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,0,0,0,0,-10,0,0,0,0,10,0,0,0,0,10,50,-10,20,110,100,10
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,Micronesia, F S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,10,10,-10,10,-10,0,10,10,0,0,0,0,0,0,10,0,0,10,10,20
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,80,70,30,50,110,70,70,120,110,20,30,40,10,10,50,20,-10,0,30,60,50
1502,Fiji,190,330,410,540,430,330,380,340,400,360,240,310,360,340,490,430,-20,1 090,1 900,1 470,800
1503,French Poly,0,0,0,10,10,0,0,10,10,0,0,10,0,10,0,-10,-10,0,0,0,0
1504,Niue,0,0,10,10,10,10,10,10,10,0,0,0,10,10,10,0,0,0,0,10,0
1505,Samoa,220,200,170,190,320,250,430,670,890,600,550,640,660,560,450,440,130,490,560,450,520
1506,Samoa American,0,0,0,0,10,10,10,10,30,10,10,20,10,10,10,0,-10,10,10,10,10
1507,Tokelau,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1508,Tonga,20,30,60,30,70,100,110,150,100,140,100,50,100,60,140,450,-10,60,230,250,120
1511,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,-10,10,10,50,40
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,Polynesia, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,UK, CIs & IOM,3 850,4 660,4 880,4 960,4 870,4 120,4 950,5 590,4 390,2 420,2 360,2 460,3 000,2 630,2 190,2 300,-1 480,350,4 570,5 140,5 080
2201,Ireland,270,260,390,610,970,650,1 530,1 990,790,-360,-510,-160,170,430,640,460,-570,-90,2 500,2 250,570
2301,Austria,40,40,20,20,50,-10,30,20,30,30,20,0,30,10,-10,30,-30,-10,30,20,30
2302,Belgium,40,30,40,70,40,30,50,90,70,60,50,50,80,60,50,90,-70,-20,100,80,50
2303,France,200,240,320,320,420,390,530,540,480,420,600,480,440,410,280,530,-700,-160,960,920,520
2304,Germany,360,360,520,580,290,420,380,340,290,80,330,330,440,210,-10,340,-430,-70,420,200,180
2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2306,Luxembourg,0,0,0,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,0,-10,0
2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,Netherlands,150,280,190,180,160,100,150,160,160,100,110,100,160,160,110,100,-170,-90,160,120,100
2311,Switzerland,50,60,70,60,60,50,70,70,30,0,80,40,60,0,0,30,-30,50,30,10,20
2401,Denmark,50,0,40,10,50,20,20,30,50,-10,20,30,50,20,50,10,-80,-20,40,50,30
2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,Finland,30,20,30,30,30,50,30,50,50,50,70,-20,50,20,10,-20,-30,-10,60,20,10
2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,Iceland,0,0,0,10,0,10,-10,0,10,10,10,0,0,-10,0,0,0,0,10,0,0
2406,Norway,-10,-30,0,50,10,10,10,10,10,30,-10,30,-10,40,-20,0,-40,30,40,40,10
2407,Sweden,60,90,90,40,90,80,80,90,100,100,70,50,30,20,-20,-10,-70,-40,80,30,50
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,Gibraltar,10,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,Italy,180,190,210,220,310,220,430,760,1 240,1 100,570,560,350,200,10,260,-500,-30,800,540,380
3105,Malta,70,60,60,60,10,20,40,30,0,-30,-10,0,-10,-10,0,20,-20,-20,10,0,0
3106,Portugal,20,30,20,30,50,20,40,50,90,40,50,40,70,0,-10,40,-20,10,50,20,20
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108,Spain,40,30,80,50,70,80,120,250,250,150,90,100,120,140,160,160,-190,-70,300,140,60
3201,Albania,90,100,80,80,100,70,40,80,90,140,90,90,80,80,20,60,-40,30,90,20,10
3202,Bosnia/Herzegov,40,10,30,30,40,40,-10,30,0,-20,0,40,0,0,-10,0,-80,-140,-30,-10,-40
3203,Bulgaria,20,20,30,10,30,10,20,10,60,50,20,40,10,20,10,10,-30,-30,0,10,0
3204,Croatia,30,-60,-20,-30,-10,-20,40,0,10,-10,20,-10,10,-40,-10,40,-50,-130,-50,-30,-50
3205,Cyprus,-30,-40,-30,-20,-10,20,20,40,50,70,10,-10,20,-10,10,-10,-30,-20,0,0,0
3206,North Macedonia,180,180,140,160,170,180,130,160,100,160,110,130,180,150,120,-200,-70,10,240,30,-20
3207,Greece,0,50,0,-40,10,70,250,990,1 100,620,210,340,220,50,-80,50,-240,-160,20,-30,-110
3208,Moldova,10,10,0,10,10,20,10,20,10,20,10,10,10,0,10,10,0,0,30,10,0
3211,Romania,110,140,100,80,120,130,70,110,110,120,70,40,50,40,40,40,-50,-80,60,30,0
3212,Slovenia,-10,10,10,10,0,10,20,20,30,20,20,30,20,0,0,0,-20,-10,0,10,10
3214,Montenegro,10,10,20,10,0,10,0,10,10,0,10,0,10,-10,10,10,0,0,0,0,-10
3215,Serbia,70,50,60,70,90,50,50,60,80,100,70,40,70,40,30,20,-40,-90,0,10,-10
3216,Kosovo,0,0,0,0,10,10,10,10,10,10,10,10,20,10,0,10,-10,10,10,0,0
3301,Belarus,20,30,10,10,20,20,10,20,10,30,10,20,20,20,20,20,0,20,50,10,20
3302,Czechia,20,20,30,-10,10,20,30,50,40,50,20,20,20,-10,30,0,-40,-10,40,10,10
3303,Estonia,20,20,30,20,70,70,30,40,110,70,20,30,70,30,0,0,-40,-10,50,40,40
3304,Hungary,10,40,60,50,60,60,40,50,70,40,30,40,30,10,20,20,-40,10,60,10,0
3305,Latvia,40,20,30,20,40,40,30,40,30,20,20,10,50,0,10,20,-10,10,20,20,10
3306,Lithuania,20,10,20,30,10,40,50,40,50,20,20,40,20,40,30,20,-10,20,40,20,10
3307,Poland,160,80,80,50,70,120,90,120,140,40,140,90,160,70,60,100,-130,-40,90,60,20
3308,Russia,210,160,150,170,260,170,220,210,270,180,210,210,230,190,160,200,-80,190,480,230,130
3311,Slovakia,20,10,20,10,10,10,10,20,40,20,20,10,30,0,-10,0,-20,-20,10,20,10
3312,Ukraine,90,90,80,90,70,90,80,140,150,110,140,100,130,120,100,80,-20,1 080,430,120,140
4101,Algeria,10,10,10,0,-10,-10,10,10,10,10,10,20,10,10,0,10,0,-10,20,20,10
4102,Egypt,320,310,340,330,310,310,290,370,440,390,260,330,290,320,270,260,-30,210,350,400,230
4103,Libya,10,10,30,40,50,80,120,0,-30,-60,-10,20,10,20,10,10,-10,0,10,0,20
4104,Morocco,20,20,10,10,10,20,40,20,30,20,40,20,30,30,30,40,0,20,30,50,40
4105,Sudan,2 010,1 330,840,250,260,150,160,110,130,130,110,130,160,100,60,-40,-20,40,160,60,90
4106,Tunisia,0,0,0,0,0,0,0,0,0,10,10,0,10,10,20,0,0,10,10,10,0
4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,South Sudan,0,0,0,0,0,0,0,0,20,40,100,90,180,80,30,-10,-10,30,30,40,50
4201,Bahrain,20,30,20,0,20,10,30,0,20,20,40,20,30,30,30,20,0,20,50,50,60
4202,Palestine,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4203,Iran,280,340,500,410,580,700,890,990,1 380,880,760,770,1 040,920,1 100,930,170,1 510,2 040,1 880,1 160
4204,Iraq,620,670,690,640,1 050,670,890,670,1 190,1 340,1 090,1 000,3 030,1 170,1 440,1 720,-50,1 290,820,640,800
4205,Israel,180,160,200,260,150,100,60,80,100,90,50,70,190,100,30,210,-140,-40,120,250,200
4206,Jordan,30,20,30,60,50,40,60,40,40,50,50,80,130,60,100,100,20,90,80,110,80
4207,Kuwait,40,50,40,50,80,110,150,170,110,90,100,80,90,30,40,20,-30,100,130,230,250
4208,Lebanon,340,300,470,480,350,370,290,380,390,380,330,240,280,350,370,390,120,390,400,660,620
4211,Oman,20,20,30,30,-10,10,-10,20,10,30,60,110,120,30,20,-130,-60,30,40,90,80
4212,Qatar,10,10,10,0,10,20,20,30,20,30,30,30,40,80,70,40,20,50,100,160,110
4213,Saudi Arabia,110,170,360,800,910,420,90,-140,-40,560,380,120,-60,-60,890,-70,-920,-40,460,610,360
4214,Syria,60,50,60,60,80,70,120,160,120,260,560,440,2 270,770,530,240,40,390,560,620,730
4215,Türkiye,360,180,160,220,340,260,190,150,20,0,40,200,410,440,370,390,-150,110,1 150,870,350
4216,Unit Arab Emir,120,150,190,200,230,140,90,120,80,100,210,320,370,400,430,220,50,320,480,570,520
4217,Yemen,0,10,0,10,10,10,0,0,10,10,0,20,30,30,30,20,-10,20,40,80,50
5101,Myanmar,180,330,700,940,880,750,520,840,1 070,790,990,850,700,740,1 210,890,-90,580,740,920,700
5102,Cambodia,250,300,370,320,390,570,430,540,410,530,540,640,630,880,770,650,-290,920,1 150,1 140,930
5103,Laos,30,-20,60,30,40,70,10,20,0,20,30,40,40,20,30,40,-60,60,180,120,40
5104,Thailand,340,580,1 040,1 020,1 070,810,450,450,760,1 100,1 150,1 530,1 600,1 020,1 200,580,-890,2 740,6 070,1 310,280
5105,Vietnam,1 110,1 330,2 080,3 170,3 830,2 750,1 960,1 500,3 150,3 600,2 700,2 910,2 920,2 570,3 030,2 640,-1 200,3 420,7 570,7 710,3 400
5201,Brunei,30,10,50,50,20,0,0,10,0,-10,20,40,20,30,20,-10,-30,60,50,60,100
5202,Indonesia,270,290,400,620,700,730,450,370,120,210,390,740,1 110,1 000,1 100,760,-1 590,1 910,3 490,3 140,2 870
5203,Malaysia,1 650,1 610,1 920,2 340,2 110,1 770,1 530,1 690,1 410,1 700,3 640,6 830,6 520,5 430,1 360,20,-2 940,1 430,2 190,1 240,680
5204,Philippines,1 290,1 650,2 210,2 510,2 430,1 920,1 880,2 660,2 820,2 780,2 710,3 170,3 410,3 300,4 990,4 390,-40,3 320,10 840,8 560,4 640
5205,Singapore,910,650,750,870,680,630,460,530,730,270,650,480,720,530,340,-220,-550,1 020,860,840,620
5206,Timor-Leste,20,20,-10,-20,-10,-10,10,30,10,20,10,-10,20,10,30,470,-50,60,390,360,130
6101,China,5 890,6 090,8 450,11 550,11 140,9 290,5 900,5 590,7 560,10 790,13 990,16 460,17 850,16 540,8 260,-4 990,-21 680,5 570,19 530,14 530,10 980
6102,Hong Kong,190,70,140,320,280,160,60,160,490,500,510,540,550,470,560,780,-70,2 480,2 670,1 690,1 250
6103,Macau,10,20,30,50,50,30,-10,-40,-10,-10,10,30,40,20,40,-20,-70,130,70,40,80
6104,Mongolia,50,0,20,20,30,-10,0,10,10,30,40,50,50,100,130,50,-110,50,460,170,-20
6105,Taiwan,30,170,120,270,330,130,400,890,1 570,830,300,460,680,1 030,120,-1 120,-1 230,860,2 700,1 620,620
6201,Japan,320,150,240,200,120,40,120,340,220,300,280,390,310,20,60,-190,-510,500,1 390,840,510
6202,Korea, North,-10,0,-10,-20,-10,0,-10,0,0,10,0,10,0,0,-10,0,-10,0,0,0,0
6203,Korea, South,720,1 220,1 330,1 450,1 160,450,180,640,650,420,540,590,670,550,110,-870,-1 120,580,1 400,830,580
7101,Bangladesh,450,410,520,540,430,440,380,360,520,480,530,550,580,660,620,610,-270,880,1 330,1 910,2 500
7102,Bhutan,0,-10,20,10,50,130,140,80,40,90,70,40,90,110,80,130,-10,110,400,300,70
7103,India,6 540,9 500,17 880,20 860,25 780,9 280,2 850,6 190,7 400,10 980,13 490,15 140,20 520,23 570,31 670,24 270,-6 390,18 400,36 480,27 050,20 570
7104,Maldives,10,0,-10,0,20,20,0,10,10,10,40,10,-10,0,10,20,-10,10,30,20,20
7105,Nepal,80,110,530,1 410,2 710,530,100,360,520,1 180,1 110,1 140,2 440,3 510,4 280,2 490,-460,2 920,4 450,3 160,2 870
7106,Pakistan,500,750,1 210,1 280,1 280,1 280,1 350,1 890,2 110,2 300,2 390,2 300,2 470,2 920,2 820,1 880,-640,2 740,5 340,4 810,3 040
7107,Sri Lanka,1 500,2 190,3 080,3 850,3 640,2 200,1 760,2 030,2 110,1 860,2 300,2 460,3 530,3 590,4 230,3 970,-960,3 390,7 300,7 500,5 550
7201,Afghanistan,340,700,760,630,530,540,720,600,900,1 280,1 140,1 160,1 230,1 480,1 380,1 440,470,2 840,3 060,4 610,3 820
7202,Armenia,0,10,10,10,0,10,0,10,0,20,10,10,10,0,0,10,0,20,20,0,10
