Table 1.6 Net overseas migration by country of birth, Western Australia, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d)
1101,Australia,-1 510,-1 040,-1 130,-1 000,120,-350,-240,-840,-910,-2 760,-2 870,-3 290,-2 630,-2 000,-1 240,2 050,350,-1 290,-2 510,-1 950,-2 010
1102,Norfolk Island(e),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,Aust E T, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,1 750,2 250,2 950,5 100,4 430,2 740,5 780,9 020,5 770,570,-1 160,-2 180,-2 040,-790,-230,-240,-700,920,3 260,3 920,3 650
1301,New Caledonia,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,30
1302,PNG,20,100,140,170,120,70,60,140,110,20,0,-10,-10,20,30,60,0,130,270,120,120
1303,Solomon Islands,10,10,0,10,0,0,10,0,0,10,10,-10,-10,0,0,10,0,10,150,30,0
1304,Vanuatu,0,0,0,0,0,10,0,0,10,0,0,0,0,0,20,160,280,480,40,40,20
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,Micronesia, F S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,0,10,10,30,40,30,40,40,70,50,10,0,-20,0,0,10,10,20,50,20,40
1502,Fiji,0,10,20,60,70,60,70,100,70,40,30,20,0,20,60,50,80,110,420,240,180
1503,French Poly,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0
