Table 4.9 Overseas migrant arrivals and departures, by visa and citizenship groups, Australian Capital Territory, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,
Direction,Visa and citizenship groups(c),,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
Overseas migrant arrivals(d),Permanent visas,Family,350,400,440,410,510,490,500,580,540,550,520,440,450,460,370,330,250,450,310,340,380
,,Skilled (permanent),340,410,380,570,710,670,420,1 000,680,950,1 110,720,700,670,590,400,220,520,900,980,1 790
,,Special eligibility & humanitarian,220,190,90,170,190,120,130,70,50,150,120,190,290,190,210,170,10,100,170,230,170
,,Other (permanent),50,60,50,40,40,40,60,60,70,80,70,80,80,80,100,120,120,110,130,140,100
,Total permanent visas,,960,1 050,960,1 200,1 450,1 330,1 100,1 700,1 340,1 730,1 810,1 420,1 520,1 390,1 270,1 020,590,1 180,1 510,1 690,2 440
,Temporary visas,Student,1 150,1 280,1 610,1 940,2 370,2 470,1 990,2 260,2 430,3 070,3 320,3 410,3 960,4 350,3 330,2 170,70,3 670,5 980,4 330,3 770
,,Student - vocational education and training,60,90,130,230,330,260,130,170,150,180,150,200,210,230,210,120,0,340,390,180,90
,,Student - higher education,510,690,860,1 070,1 360,1 480,1 190,1 290,1 410,2 030,2 310,2 430,2 870,3 230,2 420,1 530,20,2 560,4 720,3 370,2 940
,,Student - other,580,500,620,630,670,730,660,810,880,850,860,780,890,900,700,520,50,770,880,780,740
,,Skilled (temporary),350,420,490,560,600,530,480,960,650,510,580,450,550,380,480,350,60,230,460,530,510
,,Working holiday,80,100,120,170,190,230,250,400,370,310,270,260,280,350,260,190,10,110,260,290,250
,,Visitors,390,400,480,570,580,580,600,620,640,600,670,700,800,1 120,1 350,2 190,120,960,1 980,1 480,1 050
,,Other (temporary),160,120,100,140,120,120,150,170,230,240,280,250,330,470,410,340,130,720,1 040,800,590
,Total temporary visas,,2 130,2 320,2 790,3 370,3 860,3 940,3 450,4 400,4 330,4 720,5 120,5 080,5 910,6 670,5 820,5 240,390,5 690,9 730,7 420,6 160
,New Zealand citizens (subclass 444)(g),,270,240,300,340,310,350,460,550,520,320,290,300,340,320,230,180,150,160,320,360,390
,Australian citizens (no visa),,1 790,1 900,1 930,2 120,2 220,2 280,1 930,2 400,2 210,2 050,2 140,2 450,2 380,2 400,2 400,2 770,1 650,1 810,1 700,2 120,2 020
,Total(h),,5 410,5 830,6 420,7 350,8 190,8 270,7 270,9 490,8 690,8 990,9 520,9 470,10 330,10 970,9 950,9 380,2 810,8 840,13 260,11 590,11 010
,,,,,,,,,,,,,,,,,,,,,,,
Overseas migrant departures(e),Permanent visas,Family,70,60,60,70,80,80,110,80,100,110,110,110,80,90,110,110,70,110,110,90,90
,,Skilled (permanent),70,60,70,100,80,130,140,80,120,130,140,150,140,130,110,120,120,160,110,110,140
,,Special eligibility & humanitarian,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,10,0
,,Other (permanent),70,70,50,60,70,70,60,60,60,70,70,80,90,90,130,120,70,150,140,130,130
,Total permanent visas,,210,190,190,240,230,270,300,230,280,300,330,340,320,310,340,360,270,420,360,340,370
,Temporary visas,Student,530,730,730,750,830,1 100,1 310,1 620,1 660,1 720,1 540,1 530,1 630,1 770,2 380,3 270,1 920,750,590,1 230,1 710
,,Student - vocational education and training,20,40,30,30,30,70,70,70,70,110,80,70,80,110,110,180,120,80,50,80,90
,,Student - higher education,170,250,340,320,350,580,790,1 020,1 090,1 020,840,840,990,1 250,1 750,2 480,1 420,440,270,840,1 230
,,Student - other,350,450,360,410,450,450,450,530,500,590,620,620,570,420,520,610,380,240,270,310,390
,,Skilled (temporary),100,150,120,150,160,190,170,170,180,250,260,190,220,210,180,150,120,110,80,60,70
,,Working holiday,10,10,20,20,40,70,100,80,130,150,140,130,100,100,130,100,40,20,10,50,90
,,Visitors,190,180,220,240,210,160,210,150,130,140,130,180,190,280,410,290,350,370,320,370,380
,,Other (temporary),200,220,210,160,200,210,340,330,370,420,440,490,490,620,750,910,1 070,970,660,760,810
,Total temporary visas,,1 030,1 280,1 290,1 320,1 440,1 730,2 130,2 350,2 470,2 680,2 520,2 510,2 630,2 970,3 840,4 720,3 500,2 210,1 660,2 460,3 060
,New Zealand citizens (subclass 444)(g),,190,160,140,140,120,210,170,120,190,190,200,170,220,170,190,170,180,160,130,100,110
,Australian citizens (no visa),,2 880,2 740,2 560,2 840,2 480,2 590,2 610,2 510,2 630,2 860,2 790,2 930,2 820,2 570,2 520,1 630,1 930,2 680,2 700,2 820,2 500
,Total(h),,4 580,4 670,4 490,4 830,4 580,5 190,5 540,5 470,5 780,6 270,6 020,6 140,6 180,6 380,7 140,7 140,5 960,5 480,4 850,5 720,6 030
,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2025,,,,,,,,,,,,,,,,,,,,,,,
