Table 4.1 Overseas migrant arrivals and departures, by visa and citizenship groups, Australia, 2004-05 to 2024-25(a)(b)(c),,,,,,,,,,,,,,,,,,,,,,,
Direction,Visa and citizenship groups(d),,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(g)
Overseas migrant arrivals(e),Permanent visas,Family,28 430,30 400,32 480,33 100,35 060,35 580,33 730,34 770,35 230,35 510,32 050,31 590,29 680,26 280,24 290,20 300,15 650,25 910,21 100,23 120,24 390
,,Skilled (permanent),35 540,42 750,47 540,51 600,48 360,41 140,33 060,40 980,38 020,40 330,42 240,41 850,46 140,43 320,38 230,27 280,14 620,28 100,35 390,40 880,40 410
,,Special eligibility & humanitarian,13 580,12 320,12 400,9 470,11 630,9 920,9 180,7 700,8 540,13 170,11 690,11 080,24 120,12 190,15 340,13 000,590,7 780,12 970,17 590,14 870
,,Other (permanent),3 650,3 640,3 770,3 940,4 000,3 990,4 320,4 250,4 960,5 340,5 510,6 070,6 270,6 130,7 530,10 320,6 090,9 320,10 930,9 350,8 540
,Total permanent visas,,81 210,89 110,96 190,98 110,99 040,90 640,80 300,87 690,86 760,94 350,91 490,90 590,106 200,87 910,85 390,70 890,36 950,71 100,80 390,90 930,88 210
,Temporary visas,Student,66 180,73 090,103 730,133 730,152 760,106 660,75 350,73 270,86 210,114 330,122 130,132 130,149 410,157 630,164 340,110 440,1 510,141 420,277 760,204 130,156 710
,,Student - vocational education and training,7 990,10 500,19 970,31 420,53 570,25 710,11 000,10 150,8 460,9 740,11 180,15 270,16 300,19 650,22 650,11 420,120,21 470,38 140,20 020,8 690
,,Student - higher education,32 750,42 040,57 940,73 150,72 080,56 500,43 020,41 870,56 500,79 140,85 070,89 170,101 440,106 520,111 310,75 950,730,98 410,177 400,146 660,126 270
,,Student - other,25 440,20 550,25 810,29 160,27 110,24 450,21 330,21 250,21 260,25 450,25 870,27 690,31 670,31 460,30 390,23 070,670,21 540,62 220,37 450,21 750
,,Skilled (temporary),17 100,27 730,35 850,44 010,44 060,26 270,35 600,47 880,43 460,32 870,31 490,30 490,32 690,26 940,32 600,22 840,8 950,24 420,49 250,48 870,45 780
,,Working holiday,12 930,17 080,21 630,29 120,34 300,33 030,43 460,54 620,59 250,54 190,51 600,50 100,50 330,50 990,49 090,43 950,1 020,20 470,73 670,80 070,78 340
,,Visitors,35 770,36 100,37 590,49 990,42 340,40 260,41 710,42 720,47 920,44 440,50 240,60 550,72 270,79 430,91 220,117 740,7 700,47 410,108 350,85 330,56 080
,,Other (temporary),9 320,7 580,6 780,6 920,5 720,5 330,6 450,7 100,7 220,7 330,7 480,8 490,10 120,12 320,13 410,18 680,10 390,32 490,47 600,39 510,26 170
,Total temporary visas,,141 300,161 590,205 580,263 760,279 180,211 560,202 570,225 590,244 060,253 160,262 930,281 760,314 820,327 300,350 670,313 660,29 580,266 210,556 620,457 920,363 090
,New Zealand citizens (subclass 444)(h),,37 330,38 760,44 420,51 680,46 890,38 630,53 610,61 070,54 120,37 770,31 750,33 700,32 330,30 380,30 540,22 220,16 950,24 120,42 660,51 680,53 020
,Australian citizens (no visa),,69 260,72 610,75 300,75 830,80 440,78 870,78 870,76 070,77 100,72 180,71 680,75 800,79 280,77 160,78 900,96 410,61 370,62 480,58 750,60 840,64 060
