Table 4.2 Overseas migrant arrivals and departures, by visa and citizenship groups, New South Wales, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,
Direction,Visa and citizenship groups(c),,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
Overseas migrant arrivals(d),Permanent visas,Family,12 370,13 250,13 530,13 810,14 230,13 950,13 090,13 120,13 280,13 160,11 770,11 580,11 070,9 720,8 830,7 330,7 580,9 630,7 400,7 660,8 460
,,Skilled (permanent),11 690,12 410,12 890,13 530,12 730,10 040,9 040,9 440,8 990,11 040,12 290,13 230,16 190,15 380,13 000,9 290,7 250,8 790,9 620,11 920,12 560
,,Special eligibility & humanitarian,4 420,4 410,4 200,2 950,4 080,3 200,2 840,2 030,2 790,4 480,4 770,3 340,10 720,4 390,6 250,5 290,170,3 150,4 320,5 680,4 440
,,Other (permanent),1 350,1 360,1 370,1 470,1 460,1 470,1 550,1 600,1 800,2 070,2 020,2 190,2 270,2 190,2 670,3 760,3 040,3 540,4 250,3 580,3 170
,Total permanent visas,,29 830,31 440,31 990,31 760,32 510,28 670,26 510,26 180,26 850,30 750,30 850,30 340,40 250,31 680,30 750,25 670,18 040,25 110,25 580,28 850,28 630
,Temporary visas,Student,24 850,27 110,39 490,50 620,51 280,35 970,26 520,25 840,30 910,39 740,44 960,48 170,55 670,59 550,58 670,36 210,640,55 380,97 800,69 160,55 030
,,Student - vocational education and training,3 790,4 870,9 390,14 980,18 540,8 650,4 970,4 600,3 750,4 460,5 420,6 710,7 260,9 180,10 630,4 360,60,10 920,14 480,7 200,2 910
,,Student - higher education,11 440,14 830,20 110,23 690,22 720,18 870,14 370,14 340,20 460,27 380,31 120,32 050,36 900,38 680,37 440,24 240,320,37 270,63 190,49 900,45 620
,,Student - other,9 620,7 410,9 980,11 950,10 020,8 450,7 180,6 910,6 700,7 900,8 420,9 410,11 510,11 680,10 600,7 600,260,7 200,20 130,12 070,6 500
,,Skilled (temporary),6 330,7 820,9 590,11 790,10 410,7 500,10 990,12 860,13 030,11 900,12 100,12 900,14 100,11 380,13 780,9 430,4 560,9 880,18 290,16 310,14 560
,,Working holiday,7 060,9 020,10 700,13 020,13 980,12 840,15 560,15 990,17 750,17 560,17 310,18 070,19 440,19 270,17 700,15 890,560,7 610,26 220,26 590,25 240
,,Visitors,15 530,14 910,15 530,20 600,17 330,15 430,15 470,15 160,18 980,16 700,18 280,21 450,27 310,30 860,33 820,40 660,3 700,16 220,40 240,31 840,19 600
,,Other (temporary),3 070,2 540,2 390,2 550,1 720,1 780,1 950,2 030,2 160,2 470,2 540,2 830,3 540,4 090,4 420,4 880,4 180,8 910,13 340,11 920,7 540
,Total temporary visas,,56 840,61 400,77 690,98 580,94 720,73 530,70 500,71 880,82 830,88 360,95 180,103 420,120 050,125 150,128 380,107 060,13 640,98 000,195 880,155 810,121 970
,New Zealand citizens (subclass 444)(g),,11 140,10 870,11 200,11 370,10 090,9 490,12 400,11 680,11 310,8 930,7 740,9 230,8 730,7 300,7 130,5 110,7 460,5 370,8 390,9 420,10 050
,Australian citizens (no visa),,23 860,25 190,26 070,26 170,27 840,28 130,28 420,27 090,27 520,25 750,25 690,26 460,27 580,26 370,27 080,33 840,31 060,23 760,20 020,21 210,22 080
,Total(h),,125 180,132 750,150 600,170 960,169 020,144 210,141 980,140 860,152 630,155 530,160 910,170 890,198 300,191 450,194 270,172 430,70 530,152 230,249 870,215 290,182 730
,,,,,,,,,,,,,,,,,,,,,,,
Overseas migrant departures(e),Permanent visas,Family,1 800,1 900,1 940,2 020,2 000,2 210,2 290,2 220,2 160,2 060,2 240,2 150,2 100,2 210,2 190,2 520,1 590,2 650,2 130,1 870,1 730
,,Skilled (permanent),2 690,2 880,2 940,2 940,2 810,3 250,2 640,2 570,2 330,2 430,2 700,2 590,2 490,2 680,2 680,2 820,2 030,2 660,1 730,1 560,1 510
,,Special eligibility & humanitarian,100,80,60,50,20,50,50,60,70,70,60,60,60,60,70,50,40,50,40,60,70
,,Other (permanent),1 990,1 830,1 850,1 910,1 670,2 070,1 990,2 030,1 980,2 080,2 400,2 310,2 460,2 680,2 950,3 520,2 570,4 070,3 630,3 030,2 980
,Total permanent visas,,6 590,6 680,6 800,6 930,6 510,7 580,6 980,6 880,6 540,6 640,7 400,7 110,7 110,7 630,7 890,8 910,6 220,9 420,7 520,6 520,6 290
,Temporary visas,Student,7 620,8 900,8 560,9 040,10 970,14 970,17 930,16 860,15 660,15 030,15 310,15 020,15 930,20 300,25 740,39 980,21 430,10 020,5 900,13 330,19 080
,,Student - vocational education and training,1 580,1 750,1 840,2 220,3 040,4 840,5 550,4 290,3 910,3 900,4 100,4 450,5 100,6 790,7 710,10 660,4 790,3 350,2 090,3 460,4 780
,,Student - higher education,2 780,4 770,5 200,5 270,6 200,8 100,10 200,10 380,9 420,8 720,8 390,7 980,8 270,10 870,15 290,25 420,14 630,5 420,2 890,8 060,11 960
,,Student - other,3 270,2 380,1 520,1 550,1 730,2 040,2 180,2 190,2 330,2 410,2 820,2 590,2 570,2 650,2 750,3 900,2 000,1 250,920,1 810,2 340
,,Skilled (temporary),3 730,4 360,4 400,4 350,5 410,5 440,4 920,5 250,6 290,7 020,6 900,6 430,6 370,6 640,7 200,6 640,4 990,4 220,2 650,3 310,4 420
,,Working holiday,1 800,1 380,1 800,2 770,3 310,4 250,4 140,4 060,5 100,6 890,7 760,7 640,7 860,7 260,8 450,8 630,2 250,1 590,950,3 610,7 840
,,Visitors,6 040,6 730,4 710,9 040,10 460,7 220,6 750,5 910,6 830,4 300,4 460,5 520,7 410,7 920,10 320,6 280,5 320,5 940,6 510,6 130,6 320
,,Other (temporary),6 840,5 680,5 040,4 960,5 660,6 380,7 450,6 730,6 820,7 260,6 910,7 420,8 480,10 140,11 730,14 910,16 500,15 920,11 000,15 290,15 530
,Total temporary visas,,26 030,27 050,24 510,30 150,35 800,38 260,41 190,38 800,40 690,40 490,41 340,42 030,46 050,52 260,63 440,76 450,50 480,37 680,27 000,41 660,53 180
,New Zealand citizens (subclass 444)(g),,5 890,5 870,5 330,4 990,4 960,4 810,4 780,4 420,4 920,5 610,5 740,5 980,5 620,5 500,5 450,5 070,4 580,4 670,4 520,3 740,3 560
,Australian citizens (no visa),,33 540,33 740,34 850,36 230,31 000,31 430,32 940,31 320,31 610,33 150,34 220,34 070,32 320,32 480,30 350,21 380,15 590,29 740,32 790,30 250,28 130
,Total(h),,77 740,79 140,77 030,83 570,82 280,87 050,90 300,83 640,85 870,88 540,90 610,90 890,92 790,100 800,109 720,114 540,77 850,81 510,71 830,82 170,91 160
,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2025,,,,,,,,,,,,,,,,,,,,,,,
