Table 4.8 Overseas migrant arrivals and departures, by visa and citizenship groups, Northern Territory, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,
Direction,Visa and citizenship groups(c),,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
Overseas migrant arrivals(d),Permanent visas,Family,190,190,250,260,300,350,290,360,410,420,300,270,280,210,180,130,80,230,110,110,100
,,Skilled (permanent),110,130,190,190,240,280,210,350,270,420,560,620,600,560,590,340,90,480,610,620,880
,,Special eligibility & humanitarian,120,150,140,90,100,100,80,70,30,90,20,70,100,40,90,60,10,70,180,180,120
,,Other (permanent),20,10,20,20,30,20,30,20,30,30,30,40,50,30,30,30,30,80,40,30,30
,Total permanent visas,,440,490,600,550,670,750,610,800,730,960,920,1 000,1 020,830,900,550,200,860,940,940,1 130
,Temporary visas,Student,120,140,210,260,330,320,230,330,390,480,580,650,620,440,550,380,30,640,1 580,1 150,970
,,Student - vocational education and training,10,20,30,50,80,70,30,40,30,50,30,50,50,50,160,60,0,150,250,100,50
,,Student - higher education,50,90,120,130,190,160,140,220,270,350,470,520,470,330,290,250,20,410,1 170,960,830
,,Student - other,50,40,60,80,60,90,70,70,90,90,90,80,90,60,100,70,10,80,160,90,90
,,Skilled (temporary),240,450,710,830,940,630,540,910,880,690,620,550,560,370,310,180,60,240,430,580,750
,,Working holiday,110,110,230,410,490,480,620,1 380,1 500,1 460,1 180,1 040,980,890,880,480,10,380,1 050,1 030,820
,,Visitors,470,520,400,500,480,390,510,510,580,600,600,650,710,640,930,1 060,70,430,870,620,600
,,Other (temporary),140,120,100,100,120,80,110,180,190,130,180,230,210,200,250,330,390,1 560,870,610,510
,Total temporary visas,,1 080,1 340,1 650,2 100,2 350,1 890,2 010,3 310,3 530,3 360,3 170,3 130,3 080,2 550,2 910,2 420,560,3 250,4 800,3 980,3 650
,New Zealand citizens (subclass 444)(g),,350,240,240,290,340,300,420,640,680,420,400,370,500,320,270,180,130,150,240,410,410
,Australian citizens (no visa),,710,520,780,750,970,690,640,750,770,780,680,700,660,620,600,620,330,550,370,380,390
,Total(h),,4 430,3 910,4 560,4 710,5 540,4 670,4 810,6 750,7 840,6 260,6 900,6 370,6 900,5 020,5 550,4 120,1 450,4 810,6 360,5 690,5 580
,,,,,,,,,,,,,,,,,,,,,,,
Overseas migrant departures(e),Permanent visas,Family,20,30,50,40,50,40,60,50,40,70,80,70,80,60,60,40,20,50,40,40,40
,,Skilled (permanent),20,30,30,40,30,50,70,50,40,90,100,120,110,90,80,120,50,80,60,70,60
,,Special eligibility & humanitarian,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
,,Other (permanent),30,40,30,30,30,30,40,30,30,40,40,50,50,60,70,90,30,70,50,40,50
,Total permanent visas,,80,90,100,110,110,110,170,130,120,200,210,240,240,220,210,250,100,190,150,150,160
,Temporary visas,Student,60,40,70,70,50,80,100,90,100,120,130,130,170,120,120,130,70,80,50,50,80
,,Student - vocational education and training,0,0,10,10,10,20,20,30,20,20,30,40,40,30,50,50,30,30,20,20,30
,,Student - higher education,10,10,40,30,20,40,50,40,50,50,40,60,70,50,30,50,20,30,10,10,20
,,Student - other,50,30,20,30,10,20,30,30,40,50,60,40,60,30,50,30,20,20,20,20,30
,,Skilled (temporary),60,100,130,120,150,160,120,110,130,260,370,290,310,480,350,150,90,50,40,50,60
,,Working holiday,30,20,90,180,230,500,600,610,770,960,1 020,840,700,530,500,470,140,60,50,170,300
,,Visitors,220,290,220,350,240,200,420,230,150,130,210,240,400,190,220,150,110,170,170,160,210
,,Other (temporary),200,370,230,180,220,210,250,240,250,470,470,440,590,400,390,350,410,520,540,480,400
,Total temporary visas,,580,820,740,890,900,1 140,1 480,1 280,1 410,1 940,2 200,1 940,2 170,1 710,1 590,1 250,820,870,840,920,1 050
,New Zealand citizens (subclass 444)(g),,420,180,240,190,200,240,190,200,250,320,400,410,450,330,270,250,180,170,170,120,130
,Australian citizens (no visa),,860,810,790,930,970,750,900,770,760,900,830,920,880,1 000,970,720,400,720,740,740,640
,Total(h),,3 420,3 270,3 400,3 090,3 440,3 440,3 710,3 420,3 490,4 510,4 550,5 320,5 060,4 270,4 620,3 840,1 870,1 950,1 890,1 930,1 980
,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2025,,,,,,,,,,,,,,,,,,,,,,,
