Table 4.4 Overseas migrant arrivals and departures, by visa and citizenship groups, Queensland, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,
Direction,Visa and citizenship groups(c),,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
Overseas migrant arrivals(d),Permanent visas,Family,3 560,3 900,4 340,4 310,4 740,4 840,4 250,4 720,4 610,4 670,4 180,4 070,3 730,3 200,3 040,2 470,1 740,3 480,2 780,2 870,3 100
,,Skilled (permanent),5 150,6 100,7 030,7 970,7 250,5 180,4 420,5 060,4 080,4 030,4 490,4 380,4 860,4 480,4 170,3 240,1 550,3 340,4 880,5 220,4 820
,,Special eligibility & humanitarian,1 580,1 450,1 460,1 030,1 160,1 300,1 360,1 270,1 090,2 060,1 380,1 950,2 730,1 880,2 500,1 920,130,720,1 390,2 770,2 230
,,Other (permanent),610,630,590,630,660,680,670,590,760,730,840,920,940,900,1 080,1 250,680,1 170,1 360,1 210,1 260
,Total permanent visas,,10 910,12 080,13 420,13 950,13 810,12 000,10 710,11 640,10 540,11 490,10 890,11 310,12 270,10 460,10 790,8 870,4 090,8 700,10 410,12 080,11 400
,Temporary visas,Student,9 640,10 110,12 710,18 920,23 770,17 550,12 650,11 720,13 650,19 430,17 570,18 770,21 310,21 950,24 180,17 220,280,17 060,43 620,30 130,21 950
,,Student - vocational education and training,850,860,1 550,3 200,7 730,4 030,1 340,1 210,1 180,1 210,1 550,2 480,2 740,2 580,3 960,2 250,20,2 740,7 450,3 980,1 940
,,Student - higher education,4 750,5 520,6 670,10 880,10 960,8 950,7 350,6 480,8 210,13 120,10 880,10 900,12 120,13 010,13 760,9 710,130,10 190,21 020,17 610,15 000
,,Student - other,4 040,3 730,4 490,4 850,5 080,4 570,3 960,4 040,4 260,5 110,5 140,5 390,6 450,6 360,6 460,5 260,130,4 140,15 150,8 550,5 010
,,Skilled (temporary),2 380,5 400,7 730,8 920,9 560,4 720,5 910,9 090,7 840,5 120,4 540,3 980,4 210,3 330,4 230,3 390,1 320,3 320,7 250,8 880,9 560
,,Working holiday,2 230,3 350,4 560,6 620,8 410,7 760,9 130,11 800,13 170,11 630,11 200,10 710,10 320,10 550,10 210,8 370,180,4 110,14 730,16 580,17 030
,,Visitors,6 200,6 760,6 550,8 970,7 690,7 390,7 410,7 130,7 600,6 730,7 640,9 120,10 490,10 500,12 840,16 420,1 160,6 760,14 840,12 030,9 120
,,Other (temporary),2 020,1 410,1 190,1 140,1 140,1 020,1 310,1 440,1 090,1 290,1 140,1 190,1 420,1 880,1 870,3 170,2 430,6 160,8 760,7 100,5 280
,Total temporary visas,,22 460,27 030,32 750,44 580,50 560,38 440,36 410,41 180,43 350,44 200,42 080,43 760,47 740,48 200,53 320,48 570,5 350,37 410,89 190,74 720,62 940
,New Zealand citizens (subclass 444)(g),,14 160,15 130,18 380,21 860,19 070,14 120,19 130,20 850,17 490,12 150,9 960,10 340,10 120,10 040,10 210,7 400,4 140,7 760,13 330,17 900,19 070
,Australian citizens (no visa),,14 010,14 380,16 160,15 570,16 030,15 830,15 240,14 160,14 670,13 500,13 570,14 900,15 300,14 900,15 530,19 250,9 470,10 790,11 360,11 790,12 520
,Total(h),,65 390,73 070,86 490,99 670,103 110,84 890,84 250,93 210,92 800,83 800,78 980,83 170,87 820,85 440,91 660,85 590,23 440,64 660,124 280,116 500,105 940
,,,,,,,,,,,,,,,,,,,,,,,
Overseas migrant departures(e),Permanent visas,Family,690,730,730,820,790,890,1 010,940,950,1 010,1 070,1 000,930,900,890,930,530,870,890,930,840
,,Skilled (permanent),760,800,810,910,1 130,1 290,1 230,1 140,1 150,1 290,1 350,1 210,1 090,1 050,910,910,710,800,680,740,830
,,Special eligibility & humanitarian,10,10,10,20,10,20,10,10,10,10,20,20,10,30,20,20,10,20,20,20,30
,,Other (permanent),770,700,660,710,610,700,700,790,880,910,970,1 050,1 010,1 020,1 210,1 290,850,1 210,1 340,1 290,1 310
,Total permanent visas,,2 230,2 240,2 200,2 450,2 530,2 910,2 960,2 880,3 000,3 220,3 410,3 280,3 030,3 000,3 030,3 160,2 110,2 890,2 930,2 980,3 010
,Temporary visas,Student,3 880,4 850,4 950,4 750,5 490,7 270,9 110,8 750,8 510,8 130,8 440,7 810,8 190,9 520,11 060,15 360,8 710,4 650,2 620,5 350,8 320
,,Student - vocational education and training,450,450,420,530,750,1 390,2 030,1 570,1 300,1 390,1 440,1 630,2 290,2 930,3 310,3 950,1 700,1 150,840,1 470,2 490
,,Student - higher education,1 700,2 840,3 180,2 910,3 270,4 280,5 420,5 550,5 370,4 770,4 620,4 160,4 120,4 700,5 850,9 010,5 630,2 670,1 170,2 800,4 140
,,Student - other,1 730,1 560,1 350,1 310,1 470,1 600,1 670,1 630,1 840,1 970,2 380,2 020,1 770,1 890,1 900,2 400,1 370,830,620,1 090,1 690
,,Skilled (temporary),710,890,1 230,1 580,2 030,2 370,2 000,1 900,3 010,4 270,3 880,3 000,2 120,1 870,1 920,1 400,1 220,1 010,760,990,1 360
,,Working holiday,730,640,1 220,2 020,3 100,4 600,4 570,4 230,5 400,6 380,6 670,6 330,6 030,5 270,5 880,5 860,1 960,1 020,660,2 680,5 660
,,Visitors,2 880,3 550,2 550,4 210,3 350,2 900,2 970,2 530,2 430,2 150,2 130,3 200,3 110,3 910,5 070,3 020,2 060,2 180,2 970,2 890,3 380
,,Other (temporary),1 600,1 430,1 510,1 910,2 270,2 910,3 280,3 440,2 960,3 320,3 880,4 220,3 540,4 330,4 920,5 370,6 420,5 730,5 660,8 390,8 350
,Total temporary visas,,9 800,11 360,11 460,14 470,16 250,20 050,21 930,20 840,22 310,24 240,25 000,24 560,22 980,24 900,28 860,31 010,20 360,14 590,12 670,20 300,27 070
,New Zealand citizens (subclass 444)(g),,5 510,5 070,4 960,5 120,6 250,6 840,6 060,5 940,6 960,9 060,9 600,9 520,8 390,7 760,7 660,7 140,5 990,4 330,5 370,4 870,4 870
,Australian citizens (no visa),,17 180,17 470,17 260,17 630,15 780,15 430,16 060,14 830,15 680,17 290,18 760,18 730,17 510,16 640,16 620,11 210,7 210,12 290,16 680,16 620,15 250
,Total(h),,38 680,40 340,40 350,45 760,43 800,49 070,49 620,46 670,50 970,56 580,58 540,58 220,53 750,57 700,59 920,57 620,36 300,34 100,37 660,44 770,50 190
,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2025,,,,,,,,,,,,,,,,,,,,,,,
