Table 4.5 Overseas migrant arrivals and departures, by visa and citizenship groups, South Australia, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,
Direction,Visa and citizenship groups(c),,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
Overseas migrant arrivals(d),Permanent visas,Family,1 230,1 360,1 590,1 560,1 660,1 840,1 690,1 840,1 980,2 090,1 960,1 800,1 650,1 550,1 390,1 230,770,1 380,1 220,1 530,1 630
,,Skilled (permanent),2 550,4 530,5 220,5 320,4 710,6 040,3 230,4 930,4 120,3 760,4 240,3 820,3 800,4 110,4 090,3 340,780,2 870,4 090,4 370,4 430
,,Special eligibility & humanitarian,1 220,1 100,1 220,840,1 050,990,1 150,960,720,1 230,790,1 080,1 440,860,1 000,960,90,580,1 280,1 530,1 280
,,Other (permanent),140,130,170,150,170,140,160,170,210,190,200,220,230,200,280,400,210,340,360,370,320
,Total permanent visas,,5 130,7 120,8 190,7 870,7 590,9 010,6 230,7 900,7 030,7 270,7 180,6 930,7 120,6 720,6 760,5 930,1 860,5 170,6 950,7 790,7 660
,Temporary visas,Student,4 160,4 670,6 080,7 170,9 390,7 100,4 930,4 850,5 210,6 640,7 100,7 420,7 500,7 790,8 680,7 700,80,9 050,16 440,12 280,8 930
,,Student - vocational education and training,240,240,360,860,2 650,1 290,400,440,320,360,330,600,630,740,820,570,10,1 010,1 650,970,470
,,Student - higher education,2 380,3 050,3 860,4 570,5 120,4 220,3 090,2 930,3 400,4 370,5 050,5 180,5 360,5 530,6 330,5 800,40,6 750,11 420,8 960,7 060
,,Student - other,1 540,1 390,1 870,1 740,1 620,1 600,1 440,1 480,1 490,1 900,1 720,1 640,1 510,1 520,1 520,1 330,30,1 290,3 380,2 350,1 410
,,Skilled (temporary),740,1 520,1 700,1 910,2 070,1 280,1 370,1 630,1 640,1 430,1 200,1 040,930,1 010,1 060,720,340,890,1 670,1 620,1 810
,,Working holiday,250,320,470,570,690,710,880,1 550,1 890,1 820,1 610,1 390,1 210,1 070,1 120,1 050,30,590,1 960,2 190,2 160
,,Visitors,1 200,1 300,1 280,1 710,1 480,1 370,1 600,1 670,1 680,1 790,1 940,2 150,2 310,2 630,3 910,6 050,290,2 580,5 000,3 650,2 700
,,Other (temporary),590,570,530,510,340,320,300,300,390,290,330,370,430,560,680,1 080,720,1 730,2 830,2 000,1 890
,Total temporary visas,,6 930,8 380,10 060,11 860,13 960,10 770,9 070,10 000,10 810,11 960,12 180,12 370,12 380,13 060,15 450,16 610,1 450,14 830,27 910,21 740,17 490
,New Zealand citizens (subclass 444)(g),,740,730,780,960,960,760,980,1 180,880,610,520,540,540,550,550,410,270,430,800,1 020,1 090
,Australian citizens (no visa),,3 530,3 770,3 930,3 970,4 370,3 860,3 580,3 400,3 380,3 420,3 270,3 370,3 610,3 620,3 760,4 690,2 420,2 640,2 470,2 470,2 870
,Total(h),,16 620,20 550,23 490,25 160,27 260,24 820,20 160,22 980,22 580,23 620,23 280,23 410,23 820,24 100,26 650,27 740,6 020,23 070,38 130,33 030,29 110
,,,,,,,,,,,,,,,,,,,,,,,
Overseas migrant departures(e),Permanent visas,Family,180,170,160,160,190,220,230,220,200,210,220,230,220,220,220,240,140,230,250,230,190
,,Skilled (permanent),190,280,350,450,470,660,640,620,490,540,520,480,390,400,370,510,290,330,310,400,350
,,Special eligibility & humanitarian,20,20,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10
,,Other (permanent),220,200,190,220,170,200,230,210,220,240,260,250,290,300,370,370,280,390,400,380,340
,Total permanent visas,,600,660,710,840,840,1 090,1 100,1 050,920,1 010,1 000,970,890,920,970,1 120,720,960,960,1 020,880
,Temporary visas,Student,1 070,1 430,1 580,1 710,1 880,2 510,2 980,2 980,2 920,3 020,2 990,2 980,3 050,2 820,2 930,5 260,2 600,1 370,840,1 420,1 970
,,Student - vocational education and training,110,100,100,90,130,310,480,340,300,290,230,230,250,290,300,480,270,130,150,260,440
,,Student - higher education,460,760,870,970,950,1 420,1 840,1 890,1 850,1 810,1 730,1 620,1 670,1 870,1 970,3 880,1 760,920,520,840,1 030
,,Student - other,510,580,610,660,810,770,660,750,780,920,1 030,1 130,1 130,660,660,900,570,330,180,330,500
,,Skilled (temporary),190,260,230,340,420,490,450,430,550,540,590,530,460,440,430,410,310,220,160,180,230
,,Working holiday,60,40,90,160,200,370,420,550,770,1 080,1 110,1 070,890,630,620,510,230,120,80,290,550
,,Visitors,410,430,390,640,560,490,570,550,530,490,460,530,560,640,880,610,750,970,850,850,800
,,Other (temporary),490,540,550,580,750,740,860,800,920,970,840,980,980,1 220,1 190,1 550,2 030,1 640,1 550,1 830,2 050
,Total temporary visas,,2 220,2 710,2 830,3 430,3 810,4 600,5 290,5 310,5 700,6 100,5 990,6 090,5 930,5 740,6 040,8 340,5 920,4 330,3 480,4 580,5 600
,New Zealand citizens (subclass 444)(g),,340,340,330,380,340,360,340,350,410,510,490,500,460,360,420,380,300,280,300,270,250
