Table 4.7 Overseas migrant arrivals and departures, by visa and citizenship groups, Tasmania, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,
Direction,Visa and citizenship groups(c),,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
Overseas migrant arrivals(d),Permanent visas,Family,180,220,200,240,290,280,190,240,240,220,220,200,200,140,160,130,80,180,130,130,140
,,Skilled (permanent),190,230,260,270,310,270,150,190,160,110,120,130,210,340,580,450,160,710,710,870,960
,,Special eligibility & humanitarian,300,200,240,230,300,390,370,370,380,800,290,370,640,520,530,420,0,70,340,280,250
,,Other (permanent),20,20,40,30,40,40,40,30,30,30,40,30,30,50,40,60,20,40,60,40,40
,Total permanent visas,,690,670,740,760,930,980,740,830,810,1 150,670,720,1 070,1 050,1 300,1 060,260,1 010,1 240,1 310,1 390
,Temporary visas,Student,690,720,850,1 010,1 050,930,710,850,820,960,1 410,1 280,1 310,1 600,1 700,1 140,30,1 320,1 990,1 500,710
,,Student - vocational education and training,30,50,90,80,170,80,40,40,30,30,30,30,40,90,110,110,10,190,290,110,50
,,Student - higher education,420,450,540,670,680,680,490,640,580,740,1 120,970,1 020,1 230,1 360,830,10,960,1 360,1 140,490
,,Student - other,240,220,220,250,200,170,170,170,210,200,260,290,250,280,240,200,20,160,350,260,170
,,Skilled (temporary),100,270,270,290,360,220,270,230,260,150,180,210,190,200,320,130,60,200,390,410,530
,,Working holiday,50,60,70,90,110,140,150,380,450,460,510,480,490,470,490,380,10,140,600,720,490
,,Visitors,320,300,250,390,340,300,280,280,310,290,350,420,520,590,740,1 080,70,460,890,710,530
,,Other (temporary),120,70,30,40,40,50,50,30,60,50,50,60,60,150,220,1 350,620,1 470,1 260,880,620
,Total temporary visas,,1 280,1 410,1 470,1 810,1 900,1 640,1 450,1 770,1 900,1 920,2 500,2 440,2 560,3 000,3 470,4 070,790,3 590,5 130,4 220,2 880
,New Zealand citizens (subclass 444)(g),,170,190,190,240,260,250,250,250,230,160,170,170,170,150,140,140,70,140,210,230,340
,Australian citizens (no visa),,970,1 010,940,1 010,1 100,1 030,950,850,850,930,850,810,870,880,930,1 210,480,610,650,610,700
,Total(h),,3 170,3 400,3 440,3 900,4 290,4 010,3 470,3 780,3 920,4 190,4 210,4 210,4 700,5 110,5 880,6 510,1 610,5 350,7 220,6 370,5 320
,,,,,,,,,,,,,,,,,,,,,,,
Overseas migrant departures(e),Permanent visas,Family,40,50,40,40,40,50,70,50,40,50,50,40,40,40,40,30,30,60,40,30,50
,,Skilled (permanent),30,30,40,40,50,60,70,80,60,60,60,50,50,60,110,230,130,150,120,110,170
,,Special eligibility & humanitarian,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Other (permanent),50,50,40,40,30,50,50,60,30,50,40,50,40,50,50,50,30,70,70,40,60
,Total permanent visas,,120,130,110,120,120,160,180,180,140,160,150,140,130,160,190,320,190,280,240,190,280
,Temporary visas,Student,210,280,290,310,330,440,490,490,500,480,540,380,380,410,550,990,370,210,130,170,190
,,Student - vocational education and training,30,30,40,30,20,50,50,40,20,20,20,20,20,30,50,120,70,60,30,40,50
,,Student - higher education,100,170,170,210,220,290,340,360,390,380,410,260,250,290,360,690,220,80,60,80,80
,,Student - other,70,70,90,70,90,100,100,90,90,80,110,100,110,90,140,180,80,70,40,50,50
,,Skilled (temporary),20,40,60,70,60,100,90,80,50,100,80,70,40,50,60,30,50,30,20,40,50
,,Working holiday,20,10,30,50,70,120,210,230,270,330,380,410,370,260,310,290,110,40,30,100,220
,,Visitors,140,150,100,160,280,140,140,90,140,90,100,160,180,160,260,130,150,140,150,180,180
,,Other (temporary),70,60,80,80,110,100,100,100,110,140,120,140,140,150,270,420,520,430,790,610,660
,Total temporary visas,,460,540,560,670,850,900,1 030,1 000,1 070,1 140,1 220,1 160,1 100,1 020,1 440,1 860,1 190,860,1 110,1 100,1 300
,New Zealand citizens (subclass 444)(g),,140,130,110,110,100,160,170,110,130,150,180,160,140,140,120,110,90,100,160,80,110
,Australian citizens (no visa),,1 100,1 110,1 100,1 060,1 000,990,1 000,910,930,890,1 080,920,950,900,840,500,410,680,920,860,900
,Total(h),,1 930,2 060,2 010,2 060,2 170,2 330,2 480,2 260,2 300,2 390,2 680,2 440,2 360,2 300,2 690,2 870,1 930,1 910,2 420,2 230,2 590
,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2025,,,,,,,,,,,,,,,,,,,,,,,
