Table 4.3 Overseas migrant arrivals and departures, by visa and citizenship groups, Victoria, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,
Direction,Visa and citizenship groups(c),,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
Overseas migrant arrivals(d),Permanent visas,Family,7 850,8 190,8 990,9 180,9 770,10 050,9 790,10 040,9 930,10 470,9 600,9 680,9 290,8 420,7 960,6 620,3 920,8 040,6 920,8 220,8 270
,,Skilled (permanent),9 330,11 080,12 620,14 290,13 660,11 580,9 710,10 810,10 650,11 430,12 890,13 420,15 230,14 410,12 660,8 420,3 630,9 260,10 620,11 710,9 980
,,Special eligibility & humanitarian,3 940,3 440,3 380,2 740,3 040,2 650,2 440,2 180,2 960,3 540,3 600,3 210,7 220,3 650,4 110,3 650,150,2 740,4 440,6 030,5 690
,,Other (permanent),880,830,930,960,990,1 020,1 140,1 120,1 360,1 500,1 570,1 850,1 900,1 790,2 300,3 100,1 300,3 060,3 610,3 000,2 780
,Total permanent visas,,22 000,23 540,25 910,27 160,27 450,25 290,23 080,24 150,24 890,26 930,27 660,28 150,33 640,28 270,27 030,21 780,9 000,23 100,25 590,28 960,26 730
,Temporary visas,Student,19 880,23 390,35 490,43 520,51 970,32 950,21 540,20 940,25 450,35 040,37 910,42 100,49 000,53 030,56 530,37 150,300,46 740,80 000,60 680,50 110
,,Student - vocational education and training,2 300,3 630,7 130,10 130,20 180,8 750,3 010,2 530,1 970,2 070,2 340,3 530,3 900,5 580,5 590,3 080,20,5 120,10 000,5 530,2 260
,,Student - higher education,10 060,14 170,21 760,26 100,24 720,17 580,12 740,12 660,17 870,25 860,28 460,30 640,36 150,38 430,41 990,27 390,160,35 010,51 560,44 610,41 560
,,Student - other,7 530,5 580,6 610,7 300,7 070,6 620,5 800,5 750,5 600,7 110,7 110,7 930,8 950,9 020,8 950,6 670,130,6 620,18 440,10 540,6 280
,,Skilled (temporary),4 130,5 600,7 220,8 450,8 270,5 940,8 380,9 070,8 060,7 180,7 570,7 670,9 040,7 620,9 240,5 850,1 400,6 310,13 790,12 060,9 890
,,Working holiday,1 800,2 310,2 970,4 030,4 920,5 490,7 960,10 330,11 610,11 260,11 200,11 460,12 260,13 160,12 870,11 720,160,4 910,17 280,19 050,18 410
,,Visitors,7 270,7 170,7 940,10 230,8 910,9 430,9 780,10 740,11 530,11 970,14 730,19 190,22 590,25 930,29 110,38 240,1 480,15 600,33 640,26 830,16 490
,,Other (temporary),1 550,1 350,1 210,1 430,1 350,1 300,1 810,2 000,2 150,1 890,2 100,2 530,3 230,4 020,4 440,6 040,1 040,8 860,13 450,11 300,6 860
,Total temporary visas,,34 630,39 820,54 820,67 650,75 420,55 110,49 470,53 070,58 790,67 330,73 500,82 960,96 110,103 760,112 190,98 990,4 390,82 410,158 160,129 900,101 750
,New Zealand citizens (subclass 444)(g),,7 020,7 250,8 300,9 090,8 620,7 950,11 490,12 870,12 410,9 360,8 340,9 360,9 010,8 710,8 780,6 270,3 310,7 050,12 990,14 850,14 240
,Australian citizens (no visa),,16 410,17 210,17 230,17 590,18 860,18 660,18 760,19 170,19 130,18 070,18 060,18 990,20 110,19 990,19 840,23 150,10 360,16 180,15 300,15 680,16 350
,Total(h),,81 230,89 860,108 600,123 450,132 640,109 130,104 900,112 280,119 250,122 250,128 170,140 220,159 630,161 170,168 310,150 640,27 140,128 730,212 040,189 390,159 070
,,,,,,,,,,,,,,,,,,,,,,,
Overseas migrant departures(e),Permanent visas,Family,920,900,1 090,1 160,1 150,1 360,1 510,1 450,1 440,1 470,1 600,1 490,1 460,1 420,1 650,1 900,1 490,1 860,1 590,1 410,1 380
