Table 4.6 Overseas migrant arrivals and departures, by visa and citizenship groups, Western Australia, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,
Direction,Visa and citizenship groups(c),,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
Overseas migrant arrivals(d),Permanent visas,Family,2 710,2 890,3 150,3 330,3 560,3 800,3 940,3 870,4 270,3 950,3 510,3 560,3 020,2 580,2 360,2 060,1 230,2 510,2 220,2 250,2 310
,,Skilled (permanent),6 190,7 860,8 960,9 450,8 750,7 080,5 880,9 210,9 080,8 600,6 540,5 540,4 540,3 390,2 560,1 800,950,2 130,3 970,5 190,4 980
,,Special eligibility & humanitarian,1 780,1 380,1 680,1 440,1 710,1 170,810,750,520,820,730,880,990,660,650,540,40,350,850,900,690
,,Other (permanent),590,600,600,640,610,580,680,670,710,710,750,740,760,890,1 030,1 600,690,970,1 120,980,830
,Total permanent visas,,11 260,12 720,14 380,14 860,14 620,12 620,11 310,14 500,14 570,14 070,11 520,10 720,9 310,7 520,6 590,6 000,2 910,5 960,8 160,9 310,8 810
,Temporary visas,Student,5 710,5 670,7 290,10 290,12 610,9 370,6 780,6 470,7 360,8 970,9 280,10 330,10 040,8 920,10 700,8 490,80,7 530,30 330,24 880,15 230
,,Student - vocational education and training,700,730,1 310,1 890,3 900,2 580,1 080,1 140,1 030,1 390,1 340,1 680,1 460,1 190,1 170,860,10,1 010,3 640,1 960,920
,,Student - higher education,3 150,3 250,4 020,6 040,6 320,4 570,3 650,3 320,4 300,5 290,5 670,6 480,6 550,6 100,7 710,6 210,30,5 240,22 950,20 100,12 770
,,Student - other,1 860,1 690,1 960,2 360,2 390,2 230,2 050,2 010,2 030,2 290,2 270,2 170,2 030,1 640,1 820,1 420,50,1 290,3 740,2 820,1 540
,,Skilled (temporary),2 820,6 250,8 140,11 260,11 850,5 450,7 660,13 140,11 100,5 920,4 690,3 690,3 120,2 650,3 200,2 790,1 150,3 360,6 960,8 490,8 170
